student_id,attendance_risk_component,assessment_performance_risk,trend_risk,gpa_risk,study_behavior_risk,recent_performance_risk,risk_score,risk_level
STU105157,41.64,39.7,56.3,27.75,89.88,41.06,46.77,MODERATE
STU105158,35.8,33.8,47.87,62.75,70.35,36.42,45.27,MODERATE
STU105159,39.83,36.48,52.82,49.5,69.8,32.93,45.35,MODERATE
STU105160,21.06,31.91,33.43,47.5,86.08,28.72,37.48,MODERATE
STU105161,1.01,20.42,18.44,26.0,48.82,0.0,17.78,LOW
STU105162,23.38,28.42,68.16,40.0,67.9,36.68,41.87,MODERATE
STU105163,16.64,31.31,34.78,31.75,48.28,28.01,30.5,MODERATE
STU105164,0.0,12.36,27.61,8.5,15.88,0.0,11.48,LOW
STU105165,9.13,20.84,65.56,27.75,50.8,22.51,31.64,MODERATE
STU105166,1.61,29.35,45.11,35.0,48.08,16.89,28.43,LOW
STU105167,0.0,25.79,62.41,24.0,57.92,31.39,31.46,MODERATE
STU105168,0.0,32.5,63.61,32.75,53.58,33.95,34.51,MODERATE
STU105169,12.13,19.54,44.11,38.0,71.38,20.63,31.03,MODERATE
STU105170,24.13,22.18,84.18,39.5,73.12,40.65,44.51,MODERATE
STU105171,21.65,40.68,40.96,57.5,82.98,26.53,42.27,MODERATE
STU105172,5.71,22.42,45.42,35.0,58.6,12.78,28.22,LOW
STU105173,16.49,34.85,54.3,42.5,50.0,35.34,37.78,MODERATE
STU105174,0.0,16.64,44.41,19.0,33.52,0.01,19.24,LOW
STU105175,15.5,20.76,41.06,42.5,77.42,14.97,32.12,MODERATE
STU105176,37.13,34.55,49.9,37.0,50.32,37.17,40.34,MODERATE
STU105177,0.0,9.94,45.32,21.75,62.4,15.22,22.57,LOW
STU105178,59.7,56.38,69.12,78.75,86.6,72.63,67.59,HIGH
STU105179,0.0,8.88,55.5,0.0,35.68,21.25,19.01,LOW
STU105180,44.18,35.68,51.88,53.75,100.0,35.93,49.79,MODERATE
STU105181,19.11,21.38,58.69,43.0,71.62,22.08,36.72,MODERATE
STU105182,18.39,25.95,49.32,18.5,34.75,11.3,27.41,LOW
STU105183,20.84,15.14,43.32,11.5,65.98,14.19,26.36,LOW
STU105184,38.25,40.96,56.16,49.5,85.5,43.4,49.44,MODERATE
STU105185,40.45,58.66,52.55,67.25,100.0,60.22,59.37,LOW
STU105186,39.69,39.54,59.15,45.5,84.72,39.99,48.95,MODERATE
STU105187,4.47,33.24,40.71,56.75,59.12,36.19,35.39,MODERATE
STU105188,47.34,45.54,57.56,60.25,85.6,48.56,54.82,MODERATE
STU105189,29.69,26.47,63.12,29.5,56.65,17.9,37.06,MODERATE
STU105190,31.55,38.36,52.28,37.0,86.32,34.38,43.98,MODERATE
STU105191,33.91,14.06,46.18,29.0,49.15,11.2,29.92,LOW
STU105192,27.62,32.92,47.62,32.25,43.9,27.76,35.28,MODERATE
STU105193,0.11,11.33,48.01,23.0,51.0,12.81,22.29,LOW
STU105194,35.2,30.06,61.9,24.75,52.37,44.13,40.3,MODERATE
STU105195,21.89,26.84,43.24,37.0,45.95,18.9,31.77,MODERATE
STU105196,12.35,23.41,71.72,46.0,67.0,28.87,39.15,MODERATE
STU105197,40.01,45.25,39.96,62.75,84.78,38.47,49.04,MODERATE
STU105198,21.26,43.04,43.61,45.75,61.1,36.46,40.35,MODERATE
STU105199,19.25,19.27,47.45,29.75,63.4,6.73,29.63,LOW
STU105200,25.36,26.69,46.21,32.0,73.88,8.35,34.01,MODERATE
STU105201,27.45,28.38,48.11,40.0,55.58,39.8,37.74,MODERATE
STU105202,59.14,42.46,56.78,62.75,99.92,41.32,57.34,MODERATE
STU105203,23.04,27.28,44.96,28.0,66.5,36.72,34.94,MODERATE
STU105204,26.99,23.32,80.73,41.75,62.65,32.25,43.13,MODERATE
STU105205,28.19,22.25,41.7,20.5,46.3,28.4,30.09,MODERATE
STU105206,21.65,31.73,65.05,34.75,72.85,37.22,41.49,MODERATE
STU105207,43.26,42.53,53.34,58.5,96.82,48.79,53.29,MODERATE
STU105208,20.55,26.6,55.96,36.5,42.58,30.51,34.74,MODERATE
STU105209,16.74,24.59,76.74,35.0,66.8,27.67,39.54,MODERATE
STU105210,18.45,11.5,62.58,27.75,51.6,28.74,31.28,MODERATE
STU105211,32.4,27.44,45.18,36.75,57.12,19.87,35.59,MODERATE
STU105212,13.61,32.49,72.62,39.5,62.45,38.91,41.43,MODERATE
STU105213,0.0,30.06,61.16,9.25,55.88,25.92,29.31,LOW
STU105214,100.0,33.5,58.61,55.75,65.9,38.84,58.93,MODERATE
STU105215,25.97,43.06,25.42,69.0,73.9,26.32,41.42,MODERATE
STU105216,27.83,30.61,53.58,44.25,53.4,32.95,39.21,MODERATE
STU105217,37.52,38.05,38.12,64.0,94.15,25.48,46.2,MODERATE
STU105218,22.93,32.09,49.91,46.75,50.43,28.0,37.45,MODERATE
STU105219,0.0,11.28,49.51,24.5,44.82,17.63,22.64,LOW
STU105220,6.08,22.09,35.31,32.5,67.32,20.32,27.44,LOW
STU105221,10.64,29.16,46.96,43.0,67.73,26.21,34.65,MODERATE
STU105222,10.71,5.43,54.59,9.75,43.6,6.61,20.9,LOW
STU105223,26.96,33.72,56.1,48.25,84.05,35.94,44.28,MODERATE
STU105224,0.0,6.06,41.9,0.0,37.2,5.65,14.18,LOW
STU105225,26.4,39.13,77.65,43.0,56.78,40.5,46.77,MODERATE
STU105226,0.0,14.26,34.49,4.25,43.32,4.26,15.86,LOW
STU105227,2.26,8.96,45.31,15.25,60.72,11.93,21.31,LOW
STU105228,51.18,41.74,53.46,45.5,93.18,53.59,52.86,MODERATE
STU105229,1.49,12.86,49.11,15.0,14.92,23.01,19.38,LOW
STU105230,26.49,28.26,37.29,47.75,62.4,22.78,35.5,MODERATE
STU105231,27.73,39.04,28.28,39.25,82.28,48.25,39.9,MODERATE
STU105232,10.45,22.91,49.79,30.75,62.4,19.27,30.56,MODERATE
STU105233,23.64,31.47,49.15,51.75,58.32,38.88,39.91,MODERATE
STU105234,10.67,19.88,59.94,30.5,59.48,28.74,32.49,MODERATE
STU105235,29.03,41.3,69.86,42.75,89.4,45.13,49.97,MODERATE
STU105236,23.88,36.33,51.66,53.75,55.3,27.04,40.49,MODERATE
STU105237,8.75,15.13,59.78,24.0,38.85,20.16,26.99,LOW
STU105238,13.73,21.87,58.7,26.75,50.62,30.14,32.04,MODERATE
STU105239,29.22,33.09,46.1,39.75,81.18,23.87,39.8,MODERATE
STU105240,11.9,27.52,47.53,40.5,61.42,28.87,33.87,MODERATE
STU105241,45.4,39.22,43.69,75.75,69.53,43.34,50.27,MODERATE
STU105242,16.63,34.35,71.85,33.0,69.98,44.59,42.69,MODERATE
STU105243,25.61,25.99,37.41,44.5,58.85,24.37,34.1,MODERATE
STU105244,11.53,14.32,44.89,14.5,51.38,9.93,23.17,LOW
STU105245,20.99,22.03,43.86,25.5,43.2,22.83,28.91,LOW
STU105246,0.27,17.38,53.97,37.75,50.8,10.45,26.98,LOW
STU105247,21.65,38.43,38.39,59.75,69.45,34.34,40.96,MODERATE
STU105248,37.08,39.08,40.17,51.5,65.0,28.81,42.33,MODERATE
STU105249,0.0,13.62,55.76,19.25,51.12,17.18,24.27,LOW
STU105250,28.46,38.64,46.19,42.25,53.68,40.34,40.33,MODERATE
STU105251,21.59,15.18,44.59,42.0,43.62,12.09,28.9,LOW
STU105252,27.73,23.11,45.11,37.25,67.85,33.49,36.07,MODERATE
STU105253,17.57,36.3,39.28,29.0,56.38,31.88,33.62,MODERATE
STU105254,28.45,41.66,59.51,36.5,69.92,51.52,45.63,MODERATE
STU105255,0.0,9.4,60.35,27.0,48.88,18.03,25.16,LOW
STU105256,0.62,17.08,55.12,16.5,25.35,23.94,22.82,LOW
STU105257,1.92,21.17,39.28,22.5,54.37,1.01,22.45,LOW
STU105258,23.58,29.47,19.04,27.75,78.92,11.89,29.14,LOW
STU105259,23.1,45.81,67.65,50.0,72.25,60.42,50.37,MODERATE
STU105260,0.57,3.35,41.64,29.0,10.75,0.0,14.7,LOW
STU105261,32.44,38.64,23.02,52.0,64.7,28.87,37.91,MODERATE
STU105262,10.48,10.72,51.72,28.5,47.85,8.68,25.05,LOW
STU105263,3.44,24.56,35.36,43.5,65.42,15.93,28.56,LOW
STU105264,10.29,26.03,28.8,51.5,64.0,17.42,30.19,MODERATE
STU105265,21.85,22.71,45.76,40.25,67.9,10.99,33.13,MODERATE
STU105266,34.66,37.65,55.91,45.0,98.98,44.92,48.67,MODERATE
STU105267,23.19,22.97,71.18,31.25,66.75,34.19,39.4,MODERATE
STU105268,20.56,19.24,50.26,53.5,51.38,18.45,33.98,MODERATE
STU105269,0.0,4.66,55.02,19.25,25.72,0.69,17.7,LOW
STU105270,5.83,20.18,49.14,14.25,50.3,11.92,24.4,LOW
STU105271,11.67,25.6,50.91,32.75,40.92,26.72,30.59,MODERATE
STU105272,8.6,15.91,52.79,30.25,65.92,15.13,28.9,LOW
STU105273,7.88,15.06,39.83,26.25,45.72,21.98,24.01,LOW
STU105274,39.32,35.26,54.61,49.75,72.93,21.35,44.49,MODERATE
STU105275,20.03,30.5,28.18,43.0,74.15,8.66,32.0,MODERATE
STU105276,51.12,53.08,64.62,66.75,100.0,64.92,62.92,HIGH
STU105277,27.51,22.22,51.84,43.25,34.75,9.22,32.31,MODERATE
STU105278,20.48,26.23,66.22,34.5,63.18,36.14,39.0,MODERATE
STU105279,25.51,45.82,55.49,32.75,86.6,33.92,44.62,MODERATE
STU105280,7.77,18.21,44.18,22.5,35.5,22.88,24.16,LOW
STU105281,28.82,36.9,59.05,39.5,73.9,32.21,43.33,MODERATE
STU105282,34.37,34.23,49.59,43.5,84.8,43.98,44.75,MODERATE
STU105283,17.53,26.63,46.01,38.75,38.4,23.92,31.41,MODERATE
STU105284,5.03,15.58,47.21,23.25,48.52,14.44,24.13,LOW
STU105285,28.73,46.28,47.01,36.5,78.45,40.17,44.06,MODERATE
STU105286,22.33,22.38,53.29,30.5,52.68,22.8,32.84,MODERATE
STU105287,8.67,26.06,61.11,34.75,23.85,36.2,31.69,MODERATE
STU105288,19.39,16.4,55.79,33.75,59.1,17.69,31.88,MODERATE
STU105289,15.38,17.0,56.01,20.5,64.9,25.7,30.66,MODERATE
STU105290,15.04,32.38,50.76,52.75,44.85,35.12,37.16,MODERATE
STU105291,28.45,36.36,48.26,41.75,44.72,28.39,38.01,MODERATE
STU105292,0.0,13.21,38.55,11.75,35.48,17.27,18.05,LOW
STU105293,27.29,34.54,26.41,45.5,67.73,30.69,36.04,MODERATE
STU105294,25.88,36.87,49.28,39.25,61.27,28.54,39.12,MODERATE
STU105295,4.34,17.62,55.96,37.0,68.23,15.96,30.43,MODERATE
STU105296,25.51,48.1,34.71,56.25,62.4,35.76,42.32,MODERATE
STU105297,18.77,26.02,43.01,26.25,80.5,20.58,32.91,MODERATE
STU105298,37.77,42.32,48.9,44.0,77.85,28.87,45.19,MODERATE
STU105299,0.0,0.52,49.89,7.25,31.12,0.0,14.31,LOW
STU105300,0.0,3.71,46.24,7.75,60.85,0.0,17.42,LOW
STU105301,33.99,33.24,60.8,32.75,61.92,35.52,41.92,MODERATE
STU105302,26.33,28.44,45.91,10.75,46.98,28.79,30.75,MODERATE
STU105303,27.24,27.2,50.18,32.0,64.85,23.4,35.91,MODERATE
STU105304,27.72,33.77,37.64,34.75,86.82,17.65,37.17,MODERATE
STU105305,38.14,26.22,24.28,34.25,44.9,18.01,30.47,MODERATE
STU105306,17.89,29.84,67.46,21.25,39.4,37.28,35.39,MODERATE
STU105307,41.71,50.47,45.58,69.25,80.3,47.2,53.21,MODERATE
STU105308,37.65,30.22,60.68,49.5,62.97,33.92,44.34,MODERATE
STU105309,31.41,22.36,43.24,36.75,67.4,16.35,34.41,MODERATE
STU105310,20.66,26.77,59.94,27.75,52.4,21.98,34.41,MODERATE
STU105311,37.11,34.74,51.4,61.0,62.55,38.98,45.69,MODERATE
STU105312,18.56,32.35,71.44,42.0,62.45,36.5,42.28,MODERATE
STU105313,10.01,33.27,50.9,28.25,43.75,28.87,32.0,MODERATE
STU105314,10.18,27.36,55.71,24.25,63.73,27.13,32.74,MODERATE
STU105315,13.48,9.06,66.31,16.25,51.85,9.76,26.82,LOW
STU105316,12.77,21.28,59.35,47.25,58.58,29.49,35.64,MODERATE
STU105317,29.66,28.8,69.41,49.5,59.63,30.22,43.42,MODERATE
STU105318,16.14,25.09,68.99,36.75,72.75,20.04,38.09,MODERATE
STU105319,42.94,63.1,70.5,55.75,95.08,66.48,62.98,HIGH
STU105320,0.0,14.36,48.45,8.0,31.4,22.82,19.9,LOW
STU105321,12.24,28.36,47.09,39.5,64.47,30.46,34.37,MODERATE
STU105322,0.0,7.09,54.76,9.0,12.2,14.57,16.75,LOW
STU105323,36.14,38.99,53.78,57.5,60.15,34.15,45.79,MODERATE
STU105324,28.67,42.6,50.84,33.5,74.08,43.46,43.33,MODERATE
STU105325,9.18,21.54,58.84,28.0,34.88,18.54,28.53,LOW
STU105326,16.95,36.12,45.08,26.0,46.08,20.7,32.01,MODERATE
STU105327,7.25,25.11,62.13,21.25,55.75,17.64,30.68,MODERATE
STU105328,21.65,27.31,61.1,26.25,65.68,31.91,37.07,MODERATE
STU105329,30.56,32.77,54.82,45.0,76.85,37.47,43.45,MODERATE
STU105330,39.79,45.49,44.22,57.75,80.02,26.12,47.45,MODERATE
STU105331,19.64,29.66,67.19,22.75,62.9,35.57,38.04,MODERATE
STU105332,39.88,37.88,52.59,53.25,100.0,36.29,49.58,MODERATE
STU105333,44.24,40.97,56.66,61.25,87.93,34.12,51.82,MODERATE
STU105334,34.52,40.3,28.65,25.0,55.38,28.65,34.86,MODERATE
STU105335,15.95,24.56,41.95,40.25,88.22,16.74,34.25,MODERATE
STU105336,0.0,9.58,61.75,27.75,15.15,8.53,21.28,LOW
STU105337,3.74,18.89,23.31,16.5,40.62,14.49,18.12,LOW
STU105338,1.7,14.49,58.2,26.0,43.92,12.29,25.12,LOW
STU105339,4.16,18.4,53.6,25.5,49.1,34.83,28.37,LOW
STU105340,17.44,26.35,45.48,17.0,44.98,27.12,28.93,LOW
STU105341,100.0,5.18,58.4,18.25,24.5,17.09,39.87,MODERATE
STU105342,40.67,45.52,61.04,54.5,70.47,36.82,50.63,MODERATE
STU105343,27.44,33.61,46.91,29.75,58.08,31.16,36.66,MODERATE
STU105344,30.12,29.1,53.3,35.75,65.35,23.89,38.25,MODERATE
STU105345,6.4,27.37,48.4,28.0,62.97,30.11,31.31,MODERATE
STU105346,26.26,40.69,67.01,28.75,78.4,38.06,44.78,MODERATE
STU105347,26.7,15.96,53.27,28.75,76.58,20.32,33.99,MODERATE
STU105348,16.21,20.96,53.26,26.75,48.22,28.87,30.86,MODERATE
STU105349,35.46,26.27,62.09,13.0,55.55,22.73,35.86,MODERATE
STU105350,13.19,24.42,56.68,19.0,58.28,25.87,31.34,MODERATE
STU105351,4.36,8.9,63.85,6.75,31.22,12.9,21.29,LOW
STU105352,8.38,24.16,44.22,46.0,79.12,14.57,32.83,MODERATE
STU105353,3.83,23.16,41.62,20.25,53.15,15.69,24.8,LOW
STU105354,23.38,37.34,46.99,45.25,77.8,30.61,41.04,MODERATE
STU105355,41.26,36.74,58.38,56.0,79.22,41.1,49.54,MODERATE
STU105356,8.96,9.93,41.39,37.0,32.48,12.97,22.65,LOW
STU105357,40.51,31.18,57.95,46.0,51.9,23.86,41.96,MODERATE
STU105358,2.09,26.23,33.98,13.25,47.9,26.01,23.15,LOW
STU105359,22.91,19.28,46.73,27.5,37.55,28.01,29.43,LOW
STU105360,10.98,17.3,49.56,29.75,27.42,31.99,26.84,LOW
STU105361,49.1,52.64,50.65,67.0,77.75,60.04,56.94,MODERATE
STU105362,21.37,15.09,43.19,26.75,72.17,9.91,28.9,LOW
STU105363,20.04,29.61,71.24,50.0,66.38,47.81,44.58,MODERATE
STU105364,27.97,32.43,22.99,51.25,85.12,20.73,36.57,MODERATE
STU105365,42.81,40.71,39.22,42.75,30.48,33.86,39.43,MODERATE
STU105366,19.97,22.16,42.75,28.25,59.5,15.27,29.8,LOW
STU105367,11.18,20.45,51.11,22.0,70.25,12.05,29.1,LOW
STU105368,24.11,26.24,41.12,45.5,99.05,35.97,39.93,MODERATE
STU105369,38.88,38.98,35.24,73.25,92.55,35.41,48.35,MODERATE
STU105370,29.98,43.84,65.56,65.5,77.0,49.09,52.5,MODERATE
STU105371,24.51,22.46,71.31,28.25,37.62,27.1,35.49,MODERATE
STU105372,42.09,48.7,38.36,58.5,95.05,38.31,50.38,MODERATE
STU105373,19.27,29.77,49.2,49.75,49.62,26.31,36.19,MODERATE
STU105374,0.0,3.15,42.14,0.0,23.08,0.0,11.52,LOW
STU105375,21.65,24.77,54.05,24.5,61.68,11.0,32.28,MODERATE
STU105376,22.26,20.54,64.4,28.75,49.2,22.19,33.92,MODERATE
STU105377,41.32,36.86,30.58,48.75,60.7,25.37,39.51,MODERATE
STU105378,50.99,40.69,51.15,55.25,80.27,41.21,51.04,MODERATE
STU105379,28.91,27.0,39.06,38.5,64.42,15.71,34.13,MODERATE
STU105380,29.2,27.96,43.99,32.0,61.42,25.31,35.1,MODERATE
STU105381,4.32,16.22,45.96,15.5,39.8,21.44,22.56,LOW
STU105382,21.2,25.18,29.18,53.0,62.72,25.67,33.16,MODERATE
STU105383,0.0,1.46,53.64,0.0,0.0,5.82,11.68,LOW
STU105384,30.81,36.88,55.11,40.5,98.2,33.1,45.61,MODERATE
STU105385,34.29,23.73,57.51,35.5,52.2,24.56,37.29,MODERATE
STU105386,28.78,35.78,41.25,37.0,64.6,32.2,38.18,MODERATE
STU105387,17.04,14.7,75.3,6.0,63.62,18.74,31.28,MODERATE
STU105388,14.51,21.43,37.62,34.0,72.93,7.51,28.93,LOW
STU105389,50.62,41.74,65.11,50.25,62.95,53.26,52.74,MODERATE
STU105390,26.81,32.01,48.76,43.25,51.08,41.73,38.89,MODERATE
STU105391,0.0,17.91,57.15,24.5,23.42,22.36,24.16,LOW
STU105392,1.14,11.11,62.75,28.75,50.88,15.51,26.51,LOW
STU105393,39.78,41.06,62.82,49.5,79.7,49.5,51.13,MODERATE
STU105394,26.8,37.46,63.7,25.0,63.82,43.27,41.92,MODERATE
STU105395,2.92,11.86,58.66,0.0,55.02,14.04,22.19,LOW
STU105396,25.19,28.11,51.06,31.5,61.55,42.96,37.45,MODERATE
STU105397,13.58,31.4,28.52,55.0,56.53,22.75,32.45,MODERATE
STU105398,21.65,5.22,62.89,39.75,36.28,14.7,29.27,LOW
STU105399,42.0,39.59,67.4,43.5,88.12,53.16,52.43,MODERATE
STU105400,44.71,41.66,37.5,33.75,59.48,29.82,40.85,MODERATE
STU105401,19.51,35.98,64.99,35.5,64.85,43.23,42.03,MODERATE
STU105402,8.9,20.09,52.19,23.75,21.55,20.37,25.0,LOW
STU105403,18.67,20.33,50.72,11.75,36.38,15.55,25.92,LOW
STU105404,21.65,22.89,54.1,20.75,46.73,19.9,30.65,MODERATE
STU105405,23.28,28.6,83.45,28.0,77.85,43.58,44.84,MODERATE
STU105406,13.62,13.34,44.02,38.5,60.55,12.58,27.95,LOW
STU105407,15.93,30.63,63.15,35.25,43.28,29.75,36.06,MODERATE
STU105408,17.03,10.74,41.52,13.5,41.35,4.97,21.05,LOW
STU105409,22.85,14.92,44.85,20.25,62.4,13.46,27.89,LOW
STU105410,0.0,18.74,7.28,6.75,40.75,0.0,11.23,LOW
STU105411,28.63,36.24,42.22,36.75,59.08,37.11,38.36,MODERATE
STU105412,1.43,38.75,48.85,39.75,83.25,45.71,38.6,MODERATE
STU105413,9.26,9.4,54.1,7.75,47.42,2.86,21.21,LOW
STU105414,20.9,15.52,53.06,25.0,32.78,10.94,26.79,LOW
STU105415,13.72,32.04,43.03,49.75,59.82,16.86,34.49,MODERATE
STU105416,34.95,50.3,32.63,54.25,82.18,29.22,45.37,MODERATE
STU105417,4.56,9.47,47.35,20.75,22.7,5.71,18.7,LOW
STU105418,37.88,47.02,59.12,70.75,72.58,40.58,53.08,MODERATE
STU105419,52.43,45.55,59.18,51.0,96.0,53.24,56.28,MODERATE
STU105420,41.79,24.27,74.01,41.0,80.97,40.15,47.49,MODERATE
STU105421,5.58,30.59,65.86,28.75,53.52,45.95,36.2,MODERATE
STU105422,47.66,48.01,48.75,69.25,84.02,44.78,54.55,MODERATE
STU105423,6.67,32.98,47.99,27.25,67.18,26.71,32.65,MODERATE
STU105424,15.03,23.26,65.25,22.5,55.72,27.11,33.53,MODERATE
STU105425,26.8,36.85,58.82,39.75,60.72,33.7,41.74,MODERATE
STU105426,1.78,12.29,62.39,37.0,22.1,27.3,26.4,LOW
STU105427,0.0,25.78,48.32,24.5,55.38,22.6,27.58,LOW
STU105428,14.43,9.53,31.1,12.25,74.25,3.94,21.14,LOW
STU105429,45.23,45.46,39.26,51.25,72.42,51.08,48.3,MODERATE
STU105430,34.63,45.47,50.84,50.5,94.55,56.93,51.18,MODERATE
STU105431,22.3,25.87,68.96,17.25,51.75,38.5,36.33,MODERATE
STU105432,8.27,13.41,81.99,7.75,36.2,28.87,29.07,LOW
STU105433,35.01,38.79,59.18,57.25,49.6,42.57,46.34,MODERATE
STU105434,15.2,27.69,53.39,24.5,34.63,25.61,30.34,MODERATE
STU105435,22.21,43.44,42.9,54.0,86.78,34.61,44.12,MODERATE
STU105436,14.38,40.92,49.41,46.25,90.08,44.99,43.43,MODERATE
STU105437,34.43,30.63,42.04,34.25,75.43,32.01,38.83,MODERATE
STU105438,19.99,42.53,74.2,35.25,66.5,48.73,46.28,MODERATE
STU105439,45.96,33.22,57.75,38.5,88.82,37.45,47.45,MODERATE
STU105440,45.83,44.75,44.69,54.0,96.3,46.37,51.66,MODERATE
STU105441,49.37,48.08,69.3,46.0,97.32,50.65,57.45,MODERATE
STU105442,21.53,14.86,50.08,30.0,49.7,12.48,28.76,LOW
STU105443,23.81,30.6,35.34,17.75,54.52,22.15,29.81,LOW
STU105444,33.91,24.53,29.61,28.25,59.65,8.07,29.85,LOW
STU105445,21.75,39.42,46.56,53.25,80.6,31.59,42.72,MODERATE
STU105446,3.15,17.73,67.45,8.0,49.42,22.58,26.95,LOW
STU105447,14.06,20.92,78.64,33.75,49.12,28.87,36.63,MODERATE
STU105448,30.06,18.36,48.1,43.25,58.88,30.55,35.65,MODERATE
STU105449,14.41,25.46,47.87,50.5,85.45,21.55,37.1,MODERATE
STU105450,30.71,38.56,62.13,34.5,70.15,48.26,45.22,MODERATE
STU105451,21.65,21.06,52.72,22.0,64.15,32.68,33.12,MODERATE
STU105452,16.16,17.34,68.55,14.0,50.92,20.26,30.5,MODERATE
STU105453,4.45,22.62,45.61,32.0,50.1,21.22,27.6,LOW
STU105454,28.16,30.15,61.29,40.75,51.9,28.08,39.54,MODERATE
STU105455,13.86,23.09,57.19,33.5,44.32,21.69,31.61,MODERATE
STU105456,34.28,40.26,41.89,60.25,77.8,28.87,45.0,MODERATE
STU105457,8.56,29.49,53.29,32.75,62.78,34.15,34.35,MODERATE
STU105458,30.64,43.49,55.49,43.5,91.95,31.29,46.95,MODERATE
STU105459,16.56,23.5,49.92,34.25,63.92,13.12,32.01,MODERATE
STU105460,0.0,1.48,53.71,0.0,17.8,0.94,12.99,LOW
STU105461,21.64,41.66,53.59,60.25,70.62,42.85,45.85,MODERATE
STU105462,0.0,1.49,53.71,0.0,26.8,0.0,13.79,LOW
STU105463,25.48,26.8,32.78,34.75,44.18,12.01,29.18,LOW
STU105464,22.5,36.39,53.61,39.25,68.95,33.17,40.42,MODERATE
STU105465,44.65,50.87,57.41,45.75,100.0,44.05,54.4,MODERATE
STU105466,21.65,9.8,60.8,4.5,25.65,14.4,23.62,LOW
STU105467,21.21,25.27,40.16,41.25,45.65,18.87,31.23,MODERATE
STU105468,22.46,41.42,57.38,51.25,68.45,48.8,45.74,MODERATE
STU105469,12.9,40.72,67.4,46.5,58.28,43.47,43.39,MODERATE
STU105470,15.4,23.2,43.71,32.0,59.32,22.7,30.62,MODERATE
STU105471,22.48,19.96,51.38,26.0,63.45,14.98,31.5,MODERATE
STU105472,18.64,15.28,36.3,29.5,57.88,15.12,26.53,LOW
STU105473,4.48,13.8,24.78,23.25,33.6,7.43,16.89,LOW
STU105474,26.54,49.78,67.51,50.75,86.65,59.3,53.46,MODERATE
STU105475,15.13,26.91,69.88,30.25,39.18,44.43,36.63,MODERATE
STU105476,40.28,28.39,59.14,41.5,45.8,31.41,40.93,MODERATE
STU105477,20.92,29.78,29.92,43.75,76.62,18.19,33.66,MODERATE
STU105478,2.48,25.71,45.46,17.5,61.02,26.05,27.35,LOW
STU105479,39.19,38.63,44.5,62.0,100.0,36.32,49.33,MODERATE
STU105480,56.7,51.77,56.49,70.0,92.92,50.52,60.42,HIGH
STU105481,28.59,32.67,54.87,26.0,51.78,31.93,37.13,MODERATE
STU105482,29.94,36.43,58.54,35.0,59.45,34.16,41.41,MODERATE
STU105483,36.64,42.04,65.27,37.0,76.6,57.96,49.9,MODERATE
STU105484,57.27,45.05,45.26,46.25,95.28,42.81,52.52,MODERATE
STU105485,0.0,5.8,54.62,25.25,58.42,15.29,23.53,LOW
STU105486,15.86,29.72,61.74,37.0,61.78,16.65,36.34,MODERATE
STU105487,11.47,28.34,58.35,41.75,41.52,30.56,34.52,MODERATE
STU105488,0.0,4.28,50.8,20.5,26.25,9.2,17.85,LOW
STU105489,15.52,21.55,85.39,31.75,41.85,37.59,38.28,MODERATE
STU105490,14.3,8.8,44.38,18.0,24.65,8.36,19.94,LOW
STU105491,42.73,47.89,41.26,54.75,90.7,36.65,49.72,MODERATE
STU105492,25.56,40.68,56.01,58.0,77.97,29.99,45.98,MODERATE
STU105493,12.24,24.18,66.86,30.0,46.85,30.21,34.07,MODERATE
STU105494,12.25,29.61,17.88,11.0,67.95,22.38,24.11,LOW
STU105495,12.04,18.35,29.61,37.0,39.2,12.63,23.65,LOW
STU105496,37.69,46.61,71.03,48.0,70.78,57.05,53.38,MODERATE
STU105497,25.72,16.82,44.4,28.75,56.95,27.61,31.0,MODERATE
STU105498,2.65,23.74,74.95,29.0,69.2,29.59,35.68,MODERATE
STU105499,20.01,23.29,68.09,43.5,46.3,29.43,37.54,MODERATE
STU105500,42.68,27.14,54.91,36.0,76.8,36.98,43.08,MODERATE
STU105501,0.0,30.44,45.08,43.75,62.4,29.7,32.4,MODERATE
STU105502,30.23,36.34,60.14,40.0,84.65,37.16,45.34,MODERATE
STU105503,24.66,28.81,56.88,26.0,66.12,26.35,36.66,MODERATE
STU105504,49.47,41.4,51.35,61.75,62.8,34.44,49.5,MODERATE
STU105505,26.12,34.79,40.01,36.75,74.22,29.64,37.82,MODERATE
STU105506,17.8,33.22,63.42,40.25,86.72,33.91,42.65,MODERATE
STU105507,29.49,26.69,45.49,62.0,65.18,38.66,41.35,MODERATE
STU105508,23.99,40.45,77.79,57.5,73.62,47.77,51.23,MODERATE
STU105509,28.23,34.32,47.65,52.25,79.32,35.89,43.11,MODERATE
STU105510,0.0,0.59,48.59,9.5,20.92,0.05,13.39,LOW
STU105511,45.34,34.88,48.21,57.5,76.58,23.11,46.02,MODERATE
STU105512,27.25,21.5,56.84,33.0,61.15,22.93,35.55,MODERATE
STU105513,29.61,49.89,45.48,52.25,100.0,51.14,50.44,MODERATE
STU105514,5.05,15.06,54.75,11.75,39.72,24.84,23.94,LOW
STU105515,19.3,31.88,80.64,39.0,57.9,39.33,43.53,MODERATE
STU105516,33.98,37.09,63.51,39.25,72.4,51.31,47.03,MODERATE
STU105517,32.32,37.77,49.86,33.5,59.7,24.21,39.29,MODERATE
STU105518,2.03,19.86,34.65,19.25,62.42,16.61,23.09,LOW
